location,total_sqft,bath,price,BHK,price_per_sqft
Electronic City Phase II,1056.0,2.0,39.07,2,3699.810606060606
Uttarahalli,1440.0,2.0,62.0,3,4305.555555555556
Lingadheeranahalli,1521.0,3.0,95.0,3,6245.890861275477
Kothanur,1200.0,2.0,51.0,2,4250.0
Old Airport Road,2732.0,4.0,204.0,4,7467.05710102489
Whitefield,2785.0,5.0,295.0,4,10592.45960502693
7th Phase JP Nagar,1000.0,2.0,38.0,2,3800.0
Gottigere,1100.0,2.0,40.0,2,3636.363636363637
Sarjapur,2250.0,3.0,148.0,3,6577.777777777777
Mysore Road,1175.0,2.0,73.5,2,6255.31914893617
Bisuvanahalli,1180.0,3.0,48.0,3,4067.796610169492
other,2770.0,4.0,290.0,3,10469.314079422382
Kengeri,600.0,1.0,15.0,1,2500.0
Binny Pete,1755.0,3.0,122.0,3,6951.566951566952
Bellandur,1767.0,3.0,103.0,3,5829.088851160159
Whitefield,1610.0,3.0,81.0,3,5031.055900621118
Ramagondanahalli,1151.0,2.0,48.77,2,4237.185056472633
Electronic City,1025.0,2.0,47.0,3,4585.365853658536
Yelahanka,2475.0,4.0,186.0,4,7515.151515151515
Hebbal,1760.0,2.0,123.0,3,6988.636363636364
Kasturi Nagar,1925.0,3.0,125.0,3,6493.506493506494
Kundalahalli,1724.0,3.0,125.0,3,7250.580046403712
Uttarahalli,1143.0,2.0,45.0,2,3937.007874015748
Murugeshpalya,1296.0,2.0,81.0,2,6250.0
other,600.0,1.0,38.0,1,6333.333333333333
Yelahanka,660.0,1.0,48.0,1,7272.727272727273
Kanakpura Road,1330.74,2.0,91.79,2,6897.665960292769
Doddathoguru,970.0,2.0,33.0,2,3402.061855670103
Whitefield,1459.0,2.0,94.82,2,6498.971898560658
Lakshminarayana Pura,1185.0,2.0,75.0,2,6329.113924050633
Begur Road,1200.0,2.0,44.0,2,3666.6666666666665
Murugeshpalya,1407.0,4.0,150.0,6,10660.98081023454
other,840.0,2.0,45.0,2,5357.142857142857
other,4395.0,3.0,240.0,3,5460.750853242321
other,845.0,2.0,55.0,2,6508.87573964497
Varthur,1160.0,2.0,44.0,2,3793.103448275862
Doddathoguru,1100.0,2.0,62.0,2,5636.363636363636
Gunjur,1140.0,2.0,43.0,2,3771.929824561404
Marathahalli,1220.0,2.0,57.0,2,4672.131147540984
Begur Road,1358.0,2.0,80.58,2,5933.726067746687
Hegde Nagar,1569.0,3.0,101.0,3,6437.221159974506
Haralur Road,1240.0,2.0,70.0,2,5645.1612903225805
Hennur Road,2089.0,3.0,140.0,3,6701.771182383915
Kothannur,1206.0,2.0,48.23,2,3999.170812603648
Kalena Agrahara,1150.0,2.0,40.0,2,3478.260869565217
other,2511.0,3.0,205.0,3,8164.078056551175
Kaval Byrasandra,460.0,1.0,22.0,2,4782.608695652174
ISRO Layout,4400.0,6.0,250.0,6,5681.818181818182
other,1660.0,2.0,105.0,3,6325.301204819277
Yelahanka,1326.0,2.0,78.0,2,5882.35294117647
Garudachar Palya,1325.0,2.0,60.8,3,4588.679245283019
Hegde Nagar,3000.0,7.0,210.0,6,7000.0
Dasanapura,708.0,2.0,37.0,2,5225.988700564972
Kasavanhalli,1060.0,2.0,58.06,2,5477.358490566037
Sanjay nagar,1000.0,2.0,70.0,2,7000.0
Thanisandra,1296.0,2.0,80.0,2,6172.83950617284
Domlur,1540.0,3.0,90.0,3,5844.1558441558445
Kengeri,2894.0,4.0,245.0,4,8465.791292328957
Sarjapura - Attibele Road,1330.0,2.0,48.0,3,3609.0225563909776
other,1200.0,2.0,65.0,2,5416.666666666667
other,1200.0,3.0,90.0,3,7500.0
Chandapura,650.0,1.0,17.0,2,2615.3846153846152
Kothanur,2400.0,2.0,150.0,3,6250.0
other,966.0,2.0,49.9,2,5165.631469979296
Nagarbhavi,1630.0,2.0,98.0,3,6012.269938650306
other,782.0,2.0,55.68,2,7120.204603580562
Devanahalli,1260.0,2.0,66.78,2,5300.0
other,1800.0,3.0,120.0,3,6666.666666666667
other,1413.0,2.0,75.0,3,5307.855626326964
Ramamurthy Nagar,3700.0,4.0,225.0,4,6081.081081081081
Sarjapur  Road,2497.0,3.0,140.0,3,5606.728073688426
Thanisandra,1436.0,3.0,74.75,3,5205.431754874652
Malleshwaram,1100.0,2.0,75.0,2,6818.181818181818
Thanisandra,1427.0,3.0,120.0,3,8409.250175192712
Akshaya Nagar,2061.0,3.0,200.0,3,9704.02717127608
Hebbal,5611.5,4.0,477.0,4,8500.400962309543
Shampura,2650.0,4.0,150.0,4,5660.377358490566
Devanahalli,1282.0,2.0,68.52,3,5344.773790951638
Kadugodi,1050.0,2.0,34.0,2,3238.095238095238
other,945.0,2.0,54.0,2,5714.285714285715
Hormavu,1500.0,2.0,78.0,2,5200.0
other,1870.0,3.0,110.0,3,5882.35294117647
Sarjapur,1600.0,3.0,75.0,3,4687.5
Kudlu Gate,1535.0,3.0,83.0,3,5407.166123778502
Kanakpura Road,950.0,2.0,57.0,2,6000.0
8th Phase JP Nagar,1073.5,2.0,54.005,2,5030.740568234746
Bommasandra Industrial Area,1280.0,3.0,50.4,3,3937.5
other,1260.0,2.0,85.05,3,6750.0
Kasavanhalli,1563.05,3.0,105.0,3,6717.635392341896
ISRO Layout,1000.0,2.0,60.0,2,6000.0
Anandapura,1167.0,2.0,43.76,2,3749.785775492716
Kothanur,1828.0,3.0,110.0,3,6017.505470459519
Kengeri Satellite Town,890.0,2.0,35.0,2,3932.5842696629215
Kannamangala,957.0,2.0,58.0,2,6060.606060606061
other,2795.0,4.0,235.0,3,8407.871198568873
Hulimavu,1125.0,2.0,50.0,2,4444.444444444444
Electronic City Phase II,1020.0,2.0,30.6,2,3000.0
Kalena Agrahara,1200.0,2.0,50.0,2,4166.666666666667
Thanisandra,1735.0,3.0,135.0,3,7780.979827089337
Thanisandra,2050.0,3.0,145.0,3,7073.170731707317
Hosa Road,1063.0,2.0,32.0,2,3010.348071495767
other,1904.0,3.0,150.0,3,7878.151260504202
Whitefield,4200.0,4.0,420.0,4,10000.0
other,2000.0,3.0,175.0,3,8750.0
Sarjapur,1242.5,2.0,43.49,2,3500.201207243461
other,1425.0,2.0,75.0,3,5263.1578947368425
Electronic City,1500.0,2.0,64.5,3,4300.0
Electronic City,1060.0,2.0,60.0,2,5660.377358490566
Attibele,450.0,1.0,11.0,1,2444.4444444444443
Electronic City,1152.0,2.0,64.5,2,5598.958333333333
other,1500.0,3.0,100.0,3,6666.666666666667
Nagavara,400.0,1.0,14.0,1,3500.0
Malleshwaram,705.0,1.0,67.0,1,9503.54609929078
Hulimavu,1242.0,2.0,51.0,2,4106.280193236715
Hebbal Kempapura,1700.0,3.0,155.0,3,9117.64705882353
Thanisandra,2144.0,3.0,145.0,3,6763.059701492537
Vijayanagar,1704.0,3.0,110.0,3,6455.399061032864
KR Puram,1277.5,2.0,56.8,2,4446.183953033268
Marathahalli,1200.0,2.0,52.0,2,4333.333333333333
Pattandur Agrahara,1550.0,2.0,80.0,3,5161.290322580645
Marathahalli,1200.0,2.0,60.0,2,5000.0
Yelahanka,1327.0,2.0,98.0,2,7385.079125847777
Kothanur,1186.0,2.0,58.0,2,4890.387858347386
other,1783.0,3.0,115.0,3,6449.8037016264725
Nagasandra,980.0,2.0,48.0,2,4897.959183673469
EPIP Zone,1285.0,2.0,82.0,2,6381.322957198444
other,912.0,2.0,70.0,3,7675.438596491228
Kogilu,1909.0,3.0,88.0,3,4609.743321110529
Panathur,1359.0,2.0,87.0,2,6401.766004415011
Kammasandra,1595.0,3.0,65.0,3,4075.235109717869
Electronics City Phase 1,1475.0,3.0,78.29,3,5307.796610169492
other,1580.0,3.0,100.0,3,6329.113924050633
Dasarahalli,1295.0,2.0,65.0,2,5019.305019305019
Magadi Road,3600.0,6.0,141.0,6,3916.6666666666665
Electronic City,589.0,1.0,27.0,1,4584.040747028863
other,1415.0,3.0,78.0,3,5512.367491166077
Sarjapur  Road,1787.0,3.0,98.29,3,5500.279798545048
Sarjapur  Road,1787.0,3.0,125.0,3,6994.963626189144
other,2405.0,4.0,260.0,3,10810.81081081081
7th Phase JP Nagar,1080.0,2.0,72.0,2,6666.666666666667
other,1500.0,2.0,115.0,2,7666.666666666667
Hebbal,1900.0,3.0,119.0,3,6263.1578947368425
Dommasandra,805.0,2.0,22.14,2,2750.3105590062114
other,1148.0,2.0,60.0,2,5226.480836236934
Kalyan nagar,1290.0,2.0,110.0,2,8527.131782945737
Vijayanagar,1933.0,3.0,129.0,3,6673.564407656492
other,1060.0,2.0,60.0,2,5660.377358490566
Chandapura,645.0,1.0,16.45,1,2550.3875968992247
Chandapura,645.0,1.0,16.45,1,2550.3875968992247
other,1644.0,3.0,84.0,3,5109.489051094891
other,1285.0,2.0,72.5,2,5642.023346303502
Electronic City,1200.0,3.0,90.0,3,7500.0
other,4050.0,3.0,280.0,3,6913.580246913581
OMBR Layout,2420.0,3.0,185.0,3,7644.628099173554
other,1060.0,2.0,55.0,2,5188.679245283019
7th Phase JP Nagar,1270.0,2.0,93.0,2,7322.834645669292
other,1280.0,2.0,69.0,2,5390.625
Horamavu Agara,1200.0,2.0,95.0,4,7916.666666666667
Electronic City,1108.0,2.0,63.0,2,5685.9205776173285
