location,size,total_sqft,bath,price,BHK,price_per_sqft
Electronic City Phase II,2 BHK,1056.0,2.0,39.07,2.0,3699.810606060606
Uttarahalli,3 BHK,1440.0,2.0,62.0,3.0,4305.555555555556
Lingadheeranahalli,3 BHK,1521.0,3.0,95.0,3.0,6245.890861275477
Kothanur,2 BHK,1200.0,2.0,51.0,2.0,4250.0
Old Airport Road,4 BHK,2732.0,4.0,204.0,4.0,7467.05710102489
7th Phase JP Nagar,2 BHK,1000.0,2.0,38.0,2.0,3800.0
Gottigere,2 BHK,1100.0,2.0,40.0,2.0,3636.363636363637
Sarjapur,3 Bedroom,2250.0,3.0,148.0,3.0,6577.777777777777
Mysore Road,2 BHK,1175.0,2.0,73.5,2.0,6255.31914893617
Bisuvanahalli,3 BHK,1180.0,3.0,48.0,3.0,4067.796610169492
Kengeri,1 BHK,600.0,1.0,15.0,1.0,2500.0
Binny Pete,3 BHK,1755.0,3.0,122.0,3.0,6951.566951566952
Bellandur,3 BHK,1767.0,3.0,103.0,3.0,5829.088851160159
Thanisandra,1 RK,510.0,1.0,25.25,1.0,4950.980392156863
Whitefield,3 BHK,1610.0,3.0,81.0,3.0,5031.055900621118
Ramagondanahalli,2 BHK,1151.0,2.0,48.77,2.0,4237.185056472633
Electronic City,3 BHK,1025.0,2.0,47.0,3.0,4585.365853658536
Yelahanka,4 BHK,2475.0,4.0,186.0,4.0,7515.151515151515
Hebbal,3 BHK,1760.0,2.0,123.0,3.0,6988.636363636364
Kasturi Nagar,3 BHK,1925.0,3.0,125.0,3.0,6493.506493506494
Kundalahalli,3 BHK,1724.0,3.0,125.0,3.0,7250.580046403712
Uttarahalli,2 BHK,1143.0,2.0,45.0,2.0,3937.007874015748
Murugeshpalya,2 BHK,1296.0,2.0,81.0,2.0,6250.0
other,1 BHK,600.0,1.0,38.0,1.0,6333.333333333333
Yelahanka,1 Bedroom,660.0,1.0,48.0,1.0,7272.727272727273
Kanakpura Road,2 BHK,1330.74,2.0,91.79,2.0,6897.665960292769
Doddathoguru,2 BHK,970.0,2.0,33.0,2.0,3402.061855670103
Whitefield,2 BHK,1459.0,2.0,94.82,2.0,6498.971898560658
Lakshminarayana Pura,2 BHK,1185.0,2.0,75.0,2.0,6329.113924050633
Begur Road,2 BHK,1200.0,2.0,44.0,2.0,3666.6666666666665
other,2 BHK,840.0,2.0,45.0,2.0,5357.142857142857
other,3 Bedroom,4395.0,3.0,240.0,3.0,5460.750853242321
other,2 BHK,845.0,2.0,55.0,2.0,6508.87573964497
Varthur,2 BHK,1160.0,2.0,44.0,2.0,3793.103448275862
Bommanahalli,8 Bedroom,3000.0,8.0,140.0,8.0,4666.666666666667
Doddathoguru,2 BHK,1100.0,2.0,62.0,2.0,5636.363636363636
Gunjur,2 BHK,1140.0,2.0,43.0,2.0,3771.929824561404
Marathahalli,2 BHK,1220.0,2.0,57.0,2.0,4672.131147540984
Begur Road,2 BHK,1358.0,2.0,80.58,2.0,5933.726067746687
Hegde Nagar,3 BHK,1569.0,3.0,101.0,3.0,6437.221159974506
Haralur Road,2 BHK,1240.0,2.0,70.0,2.0,5645.1612903225805
Hennur Road,3 BHK,2089.0,3.0,140.0,3.0,6701.771182383915
Kothannur,2 BHK,1206.0,2.0,48.23,2.0,3999.170812603648
Kalena Agrahara,2 BHK,1150.0,2.0,40.0,2.0,3478.260869565217
other,3 BHK,2511.0,3.0,205.0,3.0,8164.078056551175
ISRO Layout,6 Bedroom,4400.0,6.0,250.0,6.0,5681.818181818182
other,3 BHK,1660.0,2.0,105.0,3.0,6325.301204819277
Yelahanka,2 BHK,1326.0,2.0,78.0,2.0,5882.35294117647
Garudachar Palya,3 BHK,1325.0,2.0,60.8,3.0,4588.679245283019
Hegde Nagar,6 Bedroom,3000.0,7.0,210.0,6.0,7000.0
Dasanapura,2 BHK,708.0,2.0,37.0,2.0,5225.988700564972
Kasavanhalli,2 BHK,1060.0,2.0,58.06,2.0,5477.358490566037
Sanjay nagar,2 BHK,1000.0,2.0,70.0,2.0,7000.0
Thanisandra,2 BHK,1296.0,2.0,80.0,2.0,6172.83950617284
Domlur,3 BHK,1540.0,3.0,90.0,3.0,5844.1558441558445
Kengeri,4 Bedroom,2894.0,4.0,245.0,4.0,8465.791292328957
Sarjapura - Attibele Road,3 BHK,1330.0,2.0,48.0,3.0,3609.0225563909776
other,2 BHK,1200.0,2.0,65.0,2.0,5416.666666666667
other,3 Bedroom,1200.0,3.0,90.0,3.0,7500.0
Chandapura,2 BHK,650.0,1.0,17.0,2.0,2615.3846153846152
Kothanur,3 Bedroom,2400.0,2.0,150.0,3.0,6250.0
other,2 BHK,966.0,2.0,49.9,2.0,5165.631469979296
Nagarbhavi,3 BHK,1630.0,2.0,98.0,3.0,6012.269938650306
other,2 BHK,782.0,2.0,55.68,2.0,7120.204603580562
Devanahalli,2 BHK,1260.0,2.0,66.78,2.0,5300.0
other,3 BHK,1800.0,3.0,120.0,3.0,6666.666666666667
other,3 BHK,1413.0,2.0,75.0,3.0,5307.855626326964
Ramamurthy Nagar,4 Bedroom,3700.0,4.0,225.0,4.0,6081.081081081081
Sarjapur  Road,3 Bedroom,2497.0,3.0,140.0,3.0,5606.728073688426
Thanisandra,3 BHK,1436.0,3.0,74.75,3.0,5205.431754874652
Malleshwaram,2 BHK,1100.0,2.0,75.0,2.0,6818.181818181818
Thanisandra,3 BHK,1427.0,3.0,120.0,3.0,8409.250175192712
Akshaya Nagar,3 BHK,2061.0,3.0,200.0,3.0,9704.02717127608
Hebbal,4 BHK,5611.5,4.0,477.0,4.0,8500.400962309543
Shampura,4 BHK,2650.0,4.0,150.0,4.0,5660.377358490566
Devanahalli,3 BHK,1282.0,2.0,68.52,3.0,5344.773790951638
Kadugodi,2 BHK,1050.0,2.0,34.0,2.0,3238.095238095238
other,2 BHK,945.0,2.0,54.0,2.0,5714.285714285715
Hormavu,2 BHK,1500.0,2.0,78.0,2.0,5200.0
other,3 BHK,1870.0,3.0,110.0,3.0,5882.35294117647
Sarjapur,3 Bedroom,1600.0,3.0,75.0,3.0,4687.5
Kudlu Gate,3 BHK,1535.0,3.0,83.0,3.0,5407.166123778502
Kanakpura Road,2 BHK,950.0,2.0,57.0,2.0,6000.0
8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2.0,5030.740568234746
Bommasandra Industrial Area,3 BHK,1280.0,3.0,50.4,3.0,3937.5
other,3 BHK,1260.0,2.0,85.05,3.0,6750.0
Hennur Road,8 Bedroom,5000.0,8.0,250.0,8.0,5000.0
Yelahanka,5 BHK,3050.0,5.0,213.0,5.0,6983.606557377049
Kasavanhalli,3 BHK,1563.05,3.0,105.0,3.0,6717.635392341896
ISRO Layout,2 BHK,1000.0,2.0,60.0,2.0,6000.0
Anandapura,2 BHK,1167.0,2.0,43.76,2.0,3749.785775492716
Vishveshwarya Layout,7 BHK,4000.0,7.0,225.0,7.0,5625.0
Kothanur,3 BHK,1828.0,3.0,110.0,3.0,6017.505470459519
Kengeri Satellite Town,2 BHK,890.0,2.0,35.0,2.0,3932.5842696629215
Kannamangala,2 BHK,957.0,2.0,58.0,2.0,6060.606060606061
other,3 BHK,2795.0,4.0,235.0,3.0,8407.871198568873
Hulimavu,2 BHK,1125.0,2.0,50.0,2.0,4444.444444444444
Electronic City Phase II,2 BHK,1020.0,2.0,30.6,2.0,3000.0
Kalena Agrahara,2 BHK,1200.0,2.0,50.0,2.0,4166.666666666667
Thanisandra,3 BHK,1735.0,3.0,135.0,3.0,7780.979827089337
Thanisandra,3 BHK,2050.0,3.0,145.0,3.0,7073.170731707317
Hosa Road,2 BHK,1063.0,2.0,32.0,2.0,3010.348071495767
other,3 BHK,1904.0,3.0,150.0,3.0,7878.151260504202
Whitefield,4 Bedroom,4200.0,4.0,420.0,4.0,10000.0
other,3 BHK,2000.0,3.0,175.0,3.0,8750.0
Sarjapur,2 BHK,1242.5,2.0,43.49,2.0,3500.201207243461
other,3 BHK,1425.0,2.0,75.0,3.0,5263.1578947368425
