location,size,total_sqft,bath,price,BHK
Electronic City Phase II,2 BHK,1056.0,2.0,39.07,2.0
Chikka Tirupathi,4 Bedroom,2600.0,5.0,120.0,4.0
Uttarahalli,3 BHK,1440.0,2.0,62.0,3.0
Lingadheeranahalli,3 BHK,1521.0,3.0,95.0,3.0
Kothanur,2 BHK,1200.0,2.0,51.0,2.0
Whitefield,2 BHK,1170.0,2.0,38.0,2.0
Old Airport Road,4 BHK,2732.0,4.0,204.0,4.0
Rajaji Nagar,4 BHK,3300.0,4.0,600.0,4.0
Marathahalli,3 BHK,1310.0,3.0,63.25,3.0
Gandhi Bazar,6 Bedroom,1020.0,6.0,370.0,6.0
Whitefield,3 BHK,1800.0,2.0,70.0,3.0
Whitefield,4 Bedroom,2785.0,5.0,295.0,4.0
7th Phase JP Nagar,2 BHK,1000.0,2.0,38.0,2.0
Gottigere,2 BHK,1100.0,2.0,40.0,2.0
Sarjapur,3 Bedroom,2250.0,3.0,148.0,3.0
Mysore Road,2 BHK,1175.0,2.0,73.5,2.0
Bisuvanahalli,3 BHK,1180.0,3.0,48.0,3.0
Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,60.0,3.0
Ramakrishnappa Layout,3 BHK,2770.0,4.0,290.0,3.0
Manayata Tech Park,2 BHK,1100.0,2.0,48.0,2.0
Kengeri,1 BHK,600.0,1.0,15.0,1.0
Binny Pete,3 BHK,1755.0,3.0,122.0,3.0
Thanisandra,4 Bedroom,2800.0,5.0,380.0,4.0
Bellandur,3 BHK,1767.0,3.0,103.0,3.0
 Thanisandra,1 RK,510.0,1.0,25.25,1.0
Mangammanapalya,3 BHK,1250.0,3.0,56.0,3.0
Electronic City,2 BHK,660.0,1.0,23.1,2.0
Whitefield,3 BHK,1610.0,3.0,81.0,3.0
Ramagondanahalli,2 BHK,1151.0,2.0,48.77,2.0
Electronic City,3 BHK,1025.0,2.0,47.0,3.0
Yelahanka,4 BHK,2475.0,4.0,186.0,4.0
Bisuvanahalli,3 BHK,1075.0,2.0,35.0,3.0
Hebbal,3 BHK,1760.0,2.0,123.0,3.0
Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,57.39,3.0
Kasturi Nagar,3 BHK,1925.0,3.0,125.0,3.0
Kanakpura Road,2 BHK,700.0,2.0,36.0,2.0
Electronics City Phase 1,2 BHK,1070.0,2.0,45.5,2.0
Kundalahalli,3 BHK,1724.0,3.0,125.0,3.0
Chikkalasandra,3 BHK,1290.0,2.0,56.12,3.0
Uttarahalli,2 BHK,1143.0,2.0,45.0,2.0
Murugeshpalya,2 BHK,1296.0,2.0,81.0,2.0
Sarjapur  Road,3 BHK,1254.0,3.0,38.0,3.0
Ganga Nagar,1 BHK,600.0,1.0,38.0,1.0
Yelahanka,1 Bedroom,660.0,1.0,48.0,1.0
Kanakpura Road,2 BHK,1330.74,2.0,91.79,2.0
HSR Layout,8 Bedroom,600.0,9.0,200.0,8.0
Doddathoguru,2 BHK,970.0,2.0,33.0,2.0
Whitefield,2 BHK,1459.0,2.0,94.82,2.0
KR Puram,2 Bedroom,800.0,1.0,130.0,2.0
Himagiri Meadows,2 BHK,869.0,2.0,36.0,2.0
Adarsh Nagar,2 BHK,1270.0,2.0,50.0,2.0
Bhoganhalli,3 BHK,1670.0,3.0,99.0,3.0
Whitefield,3 BHK,2010.0,3.0,91.0,3.0
Lakshminarayana Pura,2 BHK,1185.0,2.0,75.0,2.0
Yelahanka,3 BHK,1600.0,2.0,75.0,3.0
Begur Road,2 BHK,1200.0,2.0,44.0,2.0
Ramakrishnappa Layout,2 BHK,1500.0,2.0,185.0,2.0
Murugeshpalya,6 Bedroom,1407.0,4.0,150.0,6.0
Govindaraja Nagar Ward,2 BHK,840.0,2.0,45.0,2.0
Tharabanahalli,3 Bedroom,4395.0,3.0,240.0,3.0
Ganga Nagar,2 BHK,845.0,2.0,55.0,2.0
Whitefield,4 Bedroom,5700.0,5.0,650.0,4.0
Varthur,2 BHK,1160.0,2.0,44.0,2.0
Bommanahalli,8 Bedroom,3000.0,8.0,140.0,8.0
Doddathoguru,2 BHK,1100.0,2.0,62.0,2.0
Gunjur,2 BHK,1140.0,2.0,43.0,2.0
Marathahalli,2 BHK,1220.0,2.0,57.0,2.0
Devarachikkanahalli,8 Bedroom,1350.0,7.0,85.0,8.0
Kanakpura Road,2 BHK,1005.0,2.0,36.68,2.0
Double Road,3 Bedroom,500.0,3.0,100.0,3.0
Begur Road,2 BHK,1358.0,2.0,80.58,2.0
Hegde Nagar,3 BHK,1569.0,3.0,101.0,3.0
Haralur Road,2 BHK,1240.0,2.0,70.0,2.0
Hennur Road,3 BHK,2089.0,3.0,140.0,3.0
Kothannur,2 BHK,1206.0,2.0,48.23,2.0
Kalena Agrahara,2 BHK,1150.0,2.0,40.0,2.0
Cholanayakanahalli,3 BHK,2511.0,3.0,205.0,3.0
Kaval Byrasandra,2 BHK,460.0,1.0,22.0,2.0
ISRO Layout,6 Bedroom,4400.0,6.0,250.0,6.0
Kodanda Reddy Layout,3 BHK,1660.0,2.0,105.0,3.0
Yelahanka,2 BHK,1326.0,2.0,78.0,2.0
Garudachar Palya,3 BHK,1325.0,2.0,60.8,3.0
EPIP Zone,3 BHK,1499.0,5.0,102.0,3.0
Hegde Nagar,6 Bedroom,3000.0,7.0,210.0,6.0
Kanakpura Road,3 BHK,1665.0,3.0,88.0,3.0
Dasanapura,2 BHK,708.0,2.0,37.0,2.0
Kasavanhalli,2 BHK,1060.0,2.0,58.06,2.0
Rajaji Nagar,6 Bedroom,710.0,6.0,160.0,6.0
Sanjay nagar,2 BHK,1000.0,2.0,70.0,2.0
Electronic City,2 BHK,1000.0,2.0,28.88,2.0
 Mysore Highway,3 BHK,1450.0,2.0,70.0,3.0
ISRO Layout,4 Bedroom,1200.0,4.0,155.0,4.0
Thanisandra,2 BHK,1296.0,2.0,80.0,2.0
Domlur,3 BHK,1540.0,3.0,90.0,3.0
Kengeri,4 Bedroom,2894.0,4.0,245.0,4.0
Sarjapura - Attibele Road,3 BHK,1330.0,2.0,48.0,3.0
Devasthanagalu,2 BHK,1200.0,2.0,65.0,2.0
T Dasarahalli,3 Bedroom,1200.0,3.0,90.0,3.0
Yeshwanthpur,3 BHK,2502.0,3.0,138.0,3.0
Chandapura,2 BHK,650.0,1.0,17.0,2.0
Kothanur,3 Bedroom,2400.0,2.0,150.0,3.0
Green View Layout,2 BHK,1007.0,2.0,43.0,2.0
Shantiniketan Layout,2 BHK,1200.0,2.0,50.0,2.0
Peenya,2 BHK,966.0,2.0,49.9,2.0
Nagarbhavi,3 BHK,1630.0,2.0,98.0,3.0
Rajaji Nagar,3 BHK,1640.0,3.0,229.0,3.0
Jalahalli West,2 BHK,782.0,2.0,55.68,2.0
Devanahalli,2 BHK,1260.0,2.0,66.78,2.0
Lakshmiamma Garden,3 BHK,1800.0,3.0,120.0,3.0
Byatarayanapura,3 BHK,1413.0,2.0,75.0,3.0
Whitefield,2 BHK,1116.0,2.0,51.91,2.0
Electronic City,3 BHK,1530.0,2.0,45.9,3.0
Ramamurthy Nagar,4 Bedroom,3700.0,4.0,225.0,4.0
Sarjapur  Road,3 Bedroom,2497.0,3.0,140.0,3.0
Kengeri,3 BHK,1540.0,2.0,64.0,3.0
Thanisandra,3 BHK,1436.0,3.0,74.75,3.0
Malleshwaram,2 BHK,1100.0,2.0,75.0,2.0
Hennur Road,2 Bedroom,276.0,3.0,23.0,2.0
Thanisandra,3 BHK,1427.0,3.0,120.0,3.0
Akshaya Nagar,3 BHK,2061.0,3.0,200.0,3.0
Hebbal,4 BHK,5611.5,4.0,477.0,4.0
Shampura,4 BHK,2650.0,4.0,150.0,4.0
Devanahalli,3 BHK,1282.0,2.0,68.52,3.0
Kadugodi,2 BHK,1050.0,2.0,34.0,2.0
LB Shastri Nagar,3 BHK,1600.0,3.0,65.0,3.0
Vajarahalli,2 BHK,945.0,2.0,54.0,2.0
Hormavu,2 BHK,1500.0,2.0,78.0,2.0
Vishwapriya Layout,7 Bedroom,950.0,7.0,115.0,7.0
Peenya,3 BHK,1870.0,3.0,110.0,3.0
Sarjapur,3 Bedroom,1600.0,3.0,75.0,3.0
Electronic City,2 BHK,880.0,1.0,16.5,2.0
Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200.0,4.0,210.0,4.0
Kudlu Gate,3 BHK,1535.0,3.0,83.0,3.0
Kanakpura Road,2 BHK,950.0,2.0,57.0,2.0
Devanahalli,2 BHK,1360.0,2.0,65.0,2.0
8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2.0
Bommasandra Industrial Area,3 BHK,1280.0,3.0,50.4,3.0
Chandra Layout,3 BHK,1260.0,2.0,85.05,3.0
Hennur Road,8 Bedroom,5000.0,8.0,250.0,8.0
Yelahanka,5 BHK,3050.0,5.0,213.0,5.0
Kasavanhalli,3 BHK,1563.05,3.0,105.0,3.0
ISRO Layout,2 BHK,1000.0,2.0,60.0,2.0
Anandapura,2 BHK,1167.0,2.0,43.76,2.0
Vishveshwarya Layout,7 BHK,4000.0,7.0,225.0,7.0
Kothanur,3 BHK,1828.0,3.0,110.0,3.0
Kengeri Satellite Town,2 BHK,890.0,2.0,35.0,2.0
Basavanapura,3 BHK,1612.0,3.0,46.74,3.0
Dinnur,6 Bedroom,1034.0,5.0,185.0,6.0
Mysore Road,3 BHK,1710.0,4.0,91.31,3.0
Kannamangala,2 BHK,957.0,2.0,58.0,2.0
 Devarachikkanahalli,3 BHK,1250.0,2.0,44.0,3.0
Sanjeevini Nagar,3 BHK,2795.0,4.0,235.0,3.0
Hulimavu,2 BHK,1125.0,2.0,50.0,2.0
Electronic City Phase II,2 BHK,1020.0,2.0,30.6,2.0
Kalena Agrahara,2 BHK,1200.0,2.0,50.0,2.0
Thanisandra,3 BHK,1735.0,3.0,135.0,3.0
Thanisandra,3 BHK,2050.0,3.0,145.0,3.0
Mahalakshmi Layout,4 Bedroom,3750.0,4.0,760.0,4.0
Yarandahalli,3 BHK,1350.0,2.0,48.0,3.0
Hosa Road,2 BHK,1063.0,2.0,32.0,2.0
Keshava Nagar,3 BHK,1904.0,3.0,150.0,3.0
Whitefield,4 Bedroom,4200.0,4.0,420.0,4.0
RMV Extension,3 BHK,2000.0,3.0,175.0,3.0
Sarjapur,2 BHK,1242.5,2.0,43.49,2.0
Tejaswini Nagar,3 BHK,1425.0,2.0,75.0,3.0
Electronic City,3 BHK,1500.0,2.0,64.5,3.0
Electronic City,2 BHK,1060.0,2.0,60.0,2.0
Jai Bheema Nagar,3 BHK,1470.0,2.0,70.0,3.0
Kothnur Narayanapura,6 BHK,1300.0,6.0,99.0,6.0
Attibele,1 BHK,450.0,1.0,11.0,1.0
Electronic City,2 BHK,1152.0,2.0,64.5,2.0
Electronic City,3 BHK,1350.0,2.0,56.0,3.0
CV Raman Nagar,3 BHK,1550.0,3.0,65.0,3.0
CHIKKATIRUPATHI,3 Bedroom,1500.0,3.0,100.0,3.0
Kumaraswami Layout,5 Bedroom,600.0,3.0,85.0,5.0
Nagavara,1 Bedroom,400.0,1.0,14.0,1.0
Malleshwaram,1 BHK,705.0,1.0,67.0,1.0
Electronic City,2 BHK,770.0,1.0,36.0,2.0
Hulimavu,2 BHK,1242.0,2.0,51.0,2.0
Hebbal Kempapura,3 BHK,1700.0,3.0,155.0,3.0
Thanisandra,3 BHK,2144.0,3.0,145.0,3.0
Vijayanagar,3 BHK,1704.0,3.0,110.0,3.0
Electronic City,2 BHK,1070.0,2.0,52.0,2.0
8th block Koramangala,3 Bedroom,1846.0,3.0,300.0,3.0
Jakkuru Layout,2 BHK,1340.0,2.0,55.7,2.0
Electronic City,2 BHK,1025.0,2.0,46.0,2.0
KR Puram,2 BHK,1277.5,2.0,56.8,2.0
Marathahalli,2 BHK,1200.0,2.0,52.0,2.0
Kanakpura Road,4 Bedroom,2250.0,4.0,110.0,4.0
Pattandur Agrahara,3 BHK,1550.0,2.0,80.0,3.0
Bellandur,4 Bedroom,1200.0,5.0,325.0,4.0
Ejipura,7 Bedroom,1800.0,7.0,250.0,7.0
Marathahalli,2 BHK,1200.0,2.0,60.0,2.0
Yelahanka,2 BHK,1327.0,2.0,98.0,2.0
Kothanur,2 BHK,1186.0,2.0,58.0,2.0
MS Pallya,3 Bedroom,1783.0,3.0,115.0,3.0
HSR Layout,3 BHK,1400.0,3.0,56.0,3.0
Nagasandra,2 BHK,980.0,2.0,48.0,2.0
EPIP Zone,2 BHK,1285.0,2.0,82.0,2.0
Langford Town,3 BHK,912.0,2.0,70.0,3.0
Whitefield,2 BHK,1225.0,2.0,47.6,2.0
Whitefield,2 BHK,1075.0,2.0,53.0,2.0
Kadugodi,3 BHK,1260.0,2.0,54.0,3.0
Yelahanka,3 BHK,1282.0,2.0,48.7,3.0
Kogilu,3 BHK,1909.0,3.0,88.0,3.0
Panathur,2 BHK,1359.0,2.0,87.0,2.0
Nagondanahalli,2 BHK,1207.0,2.0,43.5,2.0
Padmanabhanagar,4 Bedroom,1736.0,6.0,190.0,4.0
1st Block Jayanagar,4 BHK,2850.0,4.0,428.0,4.0
Kammasandra,3 BHK,1595.0,3.0,65.0,3.0
"Off Sarjapur Road, ",3 BHK,1798.0,3.0,89.0,3.0
Electronics City Phase 1,3 BHK,1475.0,3.0,78.29,3.0
Tala Cauvery Layout,3 BHK,1580.0,3.0,100.0,3.0
Dasarahalli,2 BHK,1295.0,2.0,65.0,2.0
Magadi Road,6 Bedroom,3600.0,6.0,141.0,6.0
Electronic City,1 BHK,589.0,1.0,27.0,1.0
Ngef Layout,3 BHK,1415.0,3.0,78.0,3.0
Sarjapur  Road,3 BHK,1787.0,3.0,98.29,3.0
Sarjapur  Road,3 BHK,1787.0,3.0,125.0,3.0
Koramangala,3 BHK,1475.0,2.0,90.0,3.0
"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000.0,4.0,75.5,4.0
Sarjapur  Road,2 BHK,984.0,2.0,44.28,2.0
Muthurayya Swamy Layout,3 BHK,2405.0,4.0,260.0,3.0
7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2.0
Shantiniketan Layout,2 Bedroom,1500.0,2.0,115.0,2.0
Hebbal,3 BHK,1900.0,3.0,119.0,3.0
Dommasandra,2 BHK,805.0,2.0,22.14,2.0
Budigere,2 BHK,1153.0,2.0,56.4,2.0
Dodda Nekkundi Extension,2 BHK,1148.0,2.0,60.0,2.0
Mylasandra,2 BHK,1110.0,2.0,55.0,2.0
Electronic City,2 BHK,1100.0,2.0,42.0,2.0
Kalyan nagar,2 BHK,1290.0,2.0,110.0,2.0
Dr Shivarama Karantha Nagar,3 BHK,1500.0,2.0,65.0,3.0
Bank Of Baroda Colony,2 BHK,1080.0,2.0,39.0,2.0
Vijayanagar,3 BHK,1933.0,3.0,129.0,3.0
Ramamurthy Nagar,5 Bedroom,3500.0,5.0,150.0,5.0
Kullappa Colony,2 BHK,1060.0,2.0,60.0,2.0
Chandapura,1 BHK,645.0,1.0,16.45,1.0
Mukkutam Nagar,8 Bedroom,2600.0,8.0,180.0,8.0
Chandapura,1 BHK,645.0,1.0,16.45,1.0
Ashwath Nagar,3 BHK,1644.0,3.0,84.0,3.0
Ncpr Industrial Layout,2 BHK,1285.0,2.0,72.5,2.0
Electronic City,3 Bedroom,1200.0,3.0,90.0,3.0
Electronic City,2 BHK,910.0,2.0,40.0,2.0
Kothanur,3 BHK,1577.0,3.0,70.0,3.0
Meenakunte,3 Bedroom,4050.0,3.0,280.0,3.0
OMBR Layout,3 BHK,2420.0,3.0,185.0,3.0
Chandapura,2 BHK,800.0,1.0,20.0,2.0
Anand Nagar,2 BHK,1060.0,2.0,55.0,2.0
7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2.0
Shree Ananth Nagar Layout,2 BHK,900.0,2.0,22.5,2.0
Kundalahalli Colony,2 Bedroom,1280.0,2.0,69.0,2.0
Horamavu Agara,4 Bedroom,1200.0,2.0,95.0,4.0
Sarjapur  Road,2 BHK,1025.0,2.0,36.0,2.0
Electronic City,2 BHK,1108.0,2.0,63.0,2.0
MCECHS  layout,5 Bedroom,1200.0,5.0,170.0,5.0
Coffee Board Layout,3 BHK,3045.0,3.0,170.0,3.0
Ambedkar Nagar,4 Bedroom,2900.0,3.0,300.0,4.0
Vijayanagar,3 BHK,1500.0,3.0,75.5,3.0
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,43.9,2.0
Budigere,2 BHK,1162.0,2.0,59.9,2.0
Sarjapur  Road,2 BHK,1035.0,2.0,49.2,2.0
Attibele,4 Bedroom,1600.0,4.0,52.8,4.0
KUDLU MAIN ROAD,3 BHK,1464.0,3.0,46.0,3.0
Hennur Road,3 BHK,1866.0,2.0,61.58,3.0
Geleyara Balaga Layout,2 BHK,700.0,1.0,26.0,2.0
Kalena Agrahara,3 BHK,1804.0,3.0,120.0,3.0
Sarjapur,2 BHK,913.0,2.0,32.0,2.0
Talaghattapura,3 BHK,1868.0,3.0,131.0,3.0
Kengeri Satellite Town,2 BHK,883.0,2.0,45.0,2.0
Sundara Nagar,2 Bedroom,900.0,2.0,110.0,2.0
Kogilu,3 BHK,1664.0,2.0,73.95,3.0
Hegde Nagar,3 BHK,2026.0,3.0,132.0,3.0
Balagere,2 BHK,1210.0,2.0,80.9,2.0
Meenakunte,4 Bedroom,4111.0,4.0,250.0,4.0
Kadugodi,3 BHK,1762.0,3.0,91.45,3.0
Jigani,3 BHK,1252.0,3.0,55.0,3.0
Gollarapalya Hosahalli,2 BHK,861.0,2.0,34.5,2.0
7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,3.0
Srirampura,6 Bedroom,1450.0,6.0,250.0,6.0
Electronics City Phase 1,3 BHK,1490.0,3.0,78.8,3.0
Bisuvanahalli,3 BHK,1075.0,2.0,46.0,3.0
Old Madras Road,3 BHK,1425.0,2.0,94.0,3.0
Kalena Agrahara,2 BHK,1200.0,2.0,40.0,2.0
Kaggadasapura,3 BHK,1280.0,2.0,56.0,3.0
Silver Springs Layout,2 BHK,1084.0,2.0,50.0,2.0
Chandapura,2 BHK,1015.0,2.0,25.88,2.0
Kanakpura Road,2 BHK,1017.0,2.0,51.25,2.0
Haralur Road,2 BHK,1027.0,2.0,44.0,2.0
Electronic City Phase II,2 BHK,1069.0,2.0,45.0,2.0
Hebbal,2 BHK,1349.0,2.0,98.2,2.0
9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,2.0
Jakkur,2 BHK,1417.0,2.0,75.0,2.0
TC Palaya,3 Bedroom,1475.0,3.0,98.0,3.0
Maruthi Sevanagar,2 BHK,950.0,2.0,47.0,2.0
RMV 2nd Stage,4 BHK,2000.0,4.0,120.0,4.0
Giri Nagar,3 Bedroom,880.0,3.0,140.0,3.0
Sarjapur  Road,4 BHK,1863.0,3.0,104.0,4.0
Singasandra,2 BHK,1010.0,2.0,29.5,2.0
Kalena Agrahara,3 BHK,1425.0,2.0,70.0,3.0
Vijayanagar,3 BHK,1450.0,3.0,100.0,3.0
Kothanur,3 BHK,1847.0,3.0,105.0,3.0
AECS Layout,2 BHK,1100.0,2.0,45.0,2.0
Kanakpura Road,1 BHK,525.0,1.0,26.0,1.0
Mallasandra,3 BHK,1665.0,3.0,95.0,3.0
Begur,4 BHK,1664.0,4.0,65.0,4.0
JP Nagar,3 BHK,1850.0,3.0,150.0,3.0
Panathur,2 BHK,1438.0,2.0,100.0,2.0
Sunder Ram Shetty Nagar,3 BHK,1560.0,3.0,115.0,3.0
Yelahanka,2 BHK,1350.0,2.0,55.55,2.0
Kanakpura Road,3 BHK,1550.0,3.0,67.0,3.0
Malleshpalya,2 BHK,1140.0,2.0,46.5,2.0
Srirampura,5 Bedroom,1200.0,5.0,180.0,5.0
Kodathi,2 BHK,850.0,2.0,27.0,2.0
Whitefield,2 BHK,1280.0,2.0,75.0,2.0
Munnekollal,2 BHK,1170.0,2.0,52.0,2.0
Motappa Layout,2 BHK,1113.0,2.0,51.0,2.0
Hennur Road,2 BHK,1385.0,2.0,83.09,2.0
Electronic City,2 BHK,1128.0,2.0,65.0,2.0
Marathahalli,2 Bedroom,1200.0,2.0,128.0,2.0
Akshaya Vana,4 Bedroom,1200.0,4.0,165.0,4.0
Rajaji Nagar,3 BHK,2390.0,3.0,415.0,3.0
Giri Nagar,4 Bedroom,2400.0,4.0,400.0,4.0
Haralur Road,3 BHK,1464.0,3.0,56.0,3.0
Manayata Tech Park,2 BHK,1200.0,2.0,55.0,2.0
Kaval Byrasandra,2 BHK,1200.0,2.0,52.0,2.0
Kaggalipura,3 BHK,1150.0,2.0,55.0,3.0
Basavanna Nagar,3 BHK,1645.0,3.0,95.0,3.0
Sarjapur  Road,2 BHK,1000.0,2.0,67.0,2.0
Haralur Road,4 Bedroom,2650.0,4.0,198.0,4.0
6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2.0
Ulsoor,3 BHK,2135.0,3.0,215.0,3.0
Whitefield,2 BHK,1173.0,2.0,58.0,2.0
Uttarahalli,2 BHK,1020.0,2.0,45.0,2.0
Thigalarapalya,4 BHK,3122.0,6.0,230.0,4.0
Somasundara Palya,3 BHK,1600.0,3.0,64.0,3.0
T.C PALYA,2 Bedroom,1200.0,2.0,79.0,2.0
Muneshwara Nagar,2 BHK,1230.0,2.0,48.0,2.0
 Devarachikkanahalli,2 BHK,1250.0,2.0,40.0,2.0
Kalena Agrahara,2 BHK,1325.0,2.0,76.0,2.0
7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3.0
Basaveshwara Nagar,2 BHK,1200.0,2.0,65.0,2.0
Bull Temple Road,3 Bedroom,1350.0,2.0,140.0,3.0
Bommasandra,3 BHK,1260.0,3.0,49.36,3.0
Prashanth Nagar,3 BHK,1800.0,3.0,150.0,3.0
Suragajakkanahalli,3 Bedroom,11.0,3.0,74.0,3.0
Ardendale,2 BHK,1100.0,2.0,43.25,2.0
Harlur,2 BHK,1508.0,2.0,77.0,2.0
Sampigehalli,3 BHK,1592.0,3.0,75.0,3.0
Akshaya Nagar,2 BHK,1388.0,2.0,57.0,2.0
Electronic City Phase II,1 BHK,630.0,1.0,28.35,1.0
RMV,3 Bedroom,2000.0,3.0,365.0,3.0
Banashankari3rd stage bigbazar,3 BHK,1762.0,3.0,125.0,3.0
Bagalur Main Road,2 BHK,950.0,2.0,50.0,2.0
Kodihalli,4 BHK,3252.0,5.0,335.0,4.0
Magadi Road,2 BHK,1116.0,2.0,50.0,2.0
Narayanapura,2 BHK,1308.0,2.0,89.04,2.0
MS Pallya,3 BHK,1200.0,3.0,90.0,3.0
Binny Mills Employees Colony,4 Bedroom,1500.0,4.0,230.0,4.0
Bannerghatta Road,1 BHK,500.0,1.0,18.5,1.0
Hennur,2 BHK,1075.0,2.0,52.0,2.0
Chandapura,1 BHK,530.0,1.0,11.66,1.0
Bellandur,2 BHK,1205.0,2.0,66.0,2.0
5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2.0
KR Puram,2 BHK,930.0,2.0,39.0,2.0
Balagere,2 BHK,1380.0,2.0,60.0,2.0
Hebbal,4 BHK,2483.0,5.0,212.0,4.0
Kodigehaali,2 BHK,1166.0,2.0,55.0,2.0
Bannerghatta Road,2 BHK,1050.0,2.0,65.0,2.0
Gopalapura,3 BHK,2023.71,3.0,275.0,3.0
Begur Road,2 BHK,1200.0,2.0,46.8,2.0
Lakshminarayana Pura,3 BHK,1600.0,2.0,108.0,3.0
Billekahalli,3 BHK,1935.0,3.0,110.0,3.0
8th Phase JP Nagar,1 BHK,451.0,1.0,29.9,1.0
Electronic City,3 BHK,1800.0,3.0,95.0,3.0
Jalahalli,3 BHK,1400.0,3.0,77.0,3.0
Hegde Nagar,3 BHK,1801.0,3.0,115.0,3.0
Mahadevpura,2 BHK,1451.0,2.0,90.0,2.0
Anekal,2 Bedroom,1200.0,1.0,36.0,2.0
Begur Road,2 BHK,1160.0,2.0,44.0,2.0
Kengeri,2 BHK,1000.0,2.0,25.0,2.0
Kanakpura Road,2 BHK,950.0,2.0,40.0,2.0
"Hoodi Circle, ",3 BHK,1629.0,3.0,79.0,3.0
Vijayanagar,3 BHK,1580.0,2.0,134.0,3.0
Vijayanagar,3 BHK,1826.0,3.0,121.0,3.0
7th Phase JP Nagar,2 BHK,1245.0,2.0,94.0,2.0
Raja Rajeshwari Nagar,2 BHK,1145.0,2.0,45.79,2.0
Sompura,2 BHK,825.0,2.0,33.0,2.0
Yeshwanthpur,3 BHK,1693.0,3.0,108.0,3.0
Electronics City Phase 1,2 BHK,1113.27,2.0,53.0,2.0
Ashirvad Colony,2 BHK,1460.0,2.0,58.0,2.0
Doddathoguru,2 BHK,1050.0,2.0,32.0,2.0
Dodda Nekkundi,2 BHK,1260.0,2.0,55.0,2.0
K N Extension,6 BHK,700.0,3.0,120.0,6.0
Hosur Road,2 BHK,1656.0,2.0,120.0,2.0
Chandapura,3 BHK,1208.0,3.0,45.0,3.0
Whitefield,3 BHK,1910.0,3.0,161.0,3.0
Whitefield,4 BHK,3252.0,4.0,230.0,4.0
Battarahalli,2 Bedroom,1200.0,2.0,65.0,2.0
Gokula Extension,4 BHK,1200.0,4.0,175.0,4.0
7th Phase JP Nagar,2 BHK,1175.0,2.0,82.0,2.0
